,Input,Output,Result
148,Jokowi aja yg mundur. USER tutup. URL,jokowi mundur  tutup,negative
149,"USER Ngomong opo itu.mulut kok seperti banci...beli kaca dulu lihat dirimu,. Broo'",berbicara mulut beli kaca lihat dirimu bro,negative
150,USER Ada amin rasis.\nAda amat dani\nAda ratna si paiiit.\nAda si onta.\nAda si lobang anus.\nJdi jngan takut wo wo..\nKehabisan obat penenang yh.',amin racist dani ratna sih paiiit sih sih lobang anus takut oi oi kehabisan obat penenang ya,negative
151,USER Tunggu komando IMAM BEJAT CABUL USER . TAIK BEER \xf0\x9f\x8d\xba\n\nApe2 bawa ULAMA...\nDASAR Banj SEMPAK',tunggu komando imam cabul  bir bawa ulama dasar banj sempak,negative
152,Kabinet berantakan \nPemecah belah persatuan hanya ad di rezim ini',kabinet berantakan pemecah belah persatuan,positive
153,"dih! Ngaku lebih pinter dr orang politik, NGACA DULU WOYY tampang loe aja k\xc3\xa6k orang BEGO!!! USER ckakakakak'",ih mengakui pintar orang politik mengaca oi tampang k orang  wkwk,negative
154,"#PDIPerjuanganMenang Dengan menekan perusahaan tambang dgn target proyek yang impossible, lalu dilelang murah pada antek Cina. NTB contoh kasus. PDIP mau menang? Dasar bajingan'",partai demokrasi indonesia perjuangan menang menekan perusahaan tambang target proyek impossible dilelang murah cina ntb contoh partai demokrasi indonesia perjuangan menang dasar,negative
155,USER USER ga caya sama mulut buaya mu bwang',percaya mulut mu bawang,positive
156,"2019, jika SBY + PRABOWO menyatu melawan MEGA + JOKOWI , maka peristiwa 2004 akan terulang dimana PDIP yg Incumbent dikalahkan mutlak oleh SBY. ; ; Tp jk JKW+MEGA+SBY melawan PRABOWO, mk Pilpres selesai sudah. ; ; Jk 3 Poros di Pilpres, mk salah satu Lawan",2019 susilo bambang yudhoyono prabowo menyatu melawan mega jokowi peristiwa 2004 terulang dimana partai demokrasi indonesia perjuangan incumbent dikalahkan mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai 3 poros pemilihan presiden mk salah lawan,neutral
157,RT USER USER Jangan kayak BANCI KALENG kamu GATOT sering buat Gaduh gentleman lah MUNDUR siap bersaing di pemilihan presidens 2019 melawan Jokowi,kayak kaleng gatot gaduh gentleman mundur bersaing pemilihan presiden 2019 melawan jokowi,negative
158,bebal...,bebal,negative
159,"5. Yang terakhir karena Indonesia negara dengan populasi muslim terbesar di dunia, yang mana Islam saat ini merupakan musuh barat &amp; Komunis karena dapat menghambat agenda dan kepentingan mereka.(Obviously)'",5 indonesia negara populasi muslim terbesar dunia islam musuh barat amp menghambat agenda kepentingan obviously,negative
160,USER USER umuh &gt; persib\npersib kunyuk!!!!\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',umuh persib persib,positive
161,USER USER Buat film muslim pilih ahok mati nggak di sholatin......; dijamin laris ......,film muslim pilih ahok mati disalatkan dijamin laris,negative
162,"tapi banu banu Yahudi itu tentu beda dgn banu banu Kristen Syriac. salah satu perbedaan ad banu Yahudi tetep pake ""eloah/ elohim/ yahwe/"" sedangkan Syriac sudah pake ""alah/ allah""'",banu banu yahudi beda banu banu kristen suriah salah perbedaan banu yahudi pakai eloah elohim yahwe suriah pakai alah allah,negative
163,USER Eh kenapa muka merah2 tu? Tak dpt cendol ke? Bukan la setan cuaca skrg ni panas.',eh muka merah merah cendol cuaca nih panas,negative
164,Pemberitaan saracen diframing katak seakan tim prabowo dan anies-sandi. Seberulnya itu media menumpahkan sakit hati katak dan cebong. *Ehe,pemberitaan saracen diframing katak seakan tim prabowo anies sandi media menumpahkan sakit hati katak ehe,negative
165,"Giat Bhabinkamtibmas Brigpol Mbs Sihombing pd hari ini, Rabu 11 April 2018 melaks sambang desa dan tatap muka sekaligus monitoring Kamtibmas menuju Pilkada 2018 di Desa Lobusiregar I, tepatnya dirumah Rudi Panjaitan, Helman Siahaan dan Hotman Siahaan",giat bhayangkara pembina keamanan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing rabu 11 april 2018 melaksanakan sambang desa tatap muka memantau keamanan ketertiban masyarakat pilihan kepala daerah 2018 desa lobusiregar i tepatnya rumah rudi panjaitan helman siahaan hotman siahaan,neutral
166,Syg bgt ya ngeliat perempuan kyk gini... Gak ada status apa2 tp udah nemplok sm laki-laki sana sini. Haduh....\nNagita Slavina Blak-blakan Sebut Ayu Ting Ting Kampungan \xe2\x80\x93 VIVA URL,sayang banget ya perempuan kayak status menempel laki laki aduh nagita slavina blak blak ayu ting ting viva,negative
167,USER Jgn lupa juga kang.... Umat katolik dan minorutas lainnya diperhatika. Gubernur untuk semua golongan bukan satu golongan.',lupa kang umat katolik minoritas diperhatikan gubernur golongan golongan,positive
168,USER USER USER USER Kan ane bukan cebong udeh dibilangin dari maren masih ngeyel\nSitu maksa ane jadi cebong?',dibilangi kemarin mengeyel situ memaksa,negative
169,"USER Kelemahan gerindra itu ada di orang ini,...Prabowo turun elektabilitasnya karena CONGOR fadlizon spt DURNO'",kelemahan gerindra orang prabowo turun elektabilitasnya fadli zon surat pemberitahuan tahunan durno,negative
170,"Selamat Hari Kartini, setiap kali selalu dirayakan, lalu apa maknanya kali ini ð?¤?",selamat kartini kali dirayakan maknanya kali,neutral
171,"Foto memang bisu ,tpi memiliki banyak arti yg sush diartikan,sma seperti kamu susah diartikan,mau putus atau lanjut ?'",foto memiliki arti susah diartikan susah diartikan putus,negative
172,USER wakakakaka aku sudah mengalaminya \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 tetiba muncul grub wa a.n Bani Abd Hadi a.k.a mbahku dan seketika aku mek kenal beberapa orang saja \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\,wkwk mengalaminya muncul grub wa a abdi hadi a k a mbahku mek kenal orang,neutral
173,"abam pres badar n nuqaba pling boekkkð???, dia ni hebat dlm bidang agama, x tkut nk tgur member sndiri, n selalu wat lawak hambar (yg pling aku ingt smpai skrg lawak dia klau org ckp jom gerak skrg dia akn gerakkn badan dia yg chubby tu)ð???,",ayah pres badar nuqaba boekkkd nih hebat bidang agama x takut natural killer tegur member lawak hambar lawak orang jom gerak gerakan badan chubby,negative
174,â??Seorang anak Pekan telah mengilhamkan Dasar Ekonomi Baru (DEB) dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar. Beliau adalah Allahyarham Tun Abdul Razakâ?? - DS USER #MalaysiaMemilih #HogohUndi,a anak pekan mengilhamkan dasar ekonomi deb penggerak utama kemajuan ekonomi bandar beliau allah ya rahman tun abdul razaka ds  malaysia memilih hogohundi,negative
175,"USER USER Hahaha sialaaan nih si USER,; ; ternyata klo lg laper, ; presiden juga mau disikat sama doið???ð??½; ;",haha sialaaan nih sih  lapar presiden disikat doid 1 2,negative
176,"USER USER USER mau menasehati kali supaya ga ugal2an nih rezim.. eh tapi ini negeri sdh keburu ancor..nah skrg saja ekonomi morat marit,, kacaoooooo!!'",menasihati kali ugal ugalan nih eh negeri keburu hancur ekonomi moral menikah kacaoooooo,negative
177,"USER aelaah silit kebeler,. ngapa dikasianin,., org makin sayang saya pak,.,\nsetelah kasus sosmed gw baru sadar bbrapa hal di seitansai kemarin.,.\ntar gw ceritain,., duuuhhh,. \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x85'",alah kebelet dikasihani orang sayang media sosial gue sadar instansi kemarin tar gue ceritakan duuuhhh,negative
178,"USER iya, tdi cacad'",iya,negative
179,"USER tahun 2019 Rakyat makan ASPAL dan BETON; ini adalah solusi jitu mengurangi kemiskinan; ; KEAHLIAN CEBONG HANYA 1, TUKANG TIPU !!!; cebong mah gitu, goblok nggak ketulungan. Plonga plongo mengakibatkan optimisme berlebihan; ; #2019GantiPresiden #",2019 rakyat makan aspal beton solusi jitu mengurangi kemiskinan keahlian 1 tukang tipu ketulungan plonga plongo mengakibatkan optimisme 2019 ganti presiden,negative
180,"USER Aku pernah sempat baca ttg Harun Yahya ini yg 'membelot' ke kubu Yahudi dgn Freemasonry nya...kdg suka ga percaya...""",baca harun yahya membelot kubu yahudi freemason nya kadang suka percaya,positive
181,Kita Maju Bersama Ulama ; Kita Bergerak Bersama Semua Tokoh Agama untuk Indonesia; #NderekGusMus,maju ulama bergerak tokoh agama indonesia gus mus,negative
182,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER,,negative
183,"#MukidiKepedean ; Pertanyaan mudah ya..; Dijawab yg keras , tapi Saya minta dijawab yg keras , siapa nama Saya ?",mukidi percaya mudah ya keras keras nama,negative
184,USER Kemarin di hujat sekarang mengharap dasar para bani kamprey',kemarin hujat mengharap dasar,negative
185,"USER Penjelasan sy bukan FITNAH, silahkan DIBANTAH USER Apollinaris Darmawan Sebut Al-Quran Kitab Sampah",penjelasan fitnah silakan dibantah  apollinaris darmawan al alquran kitab,negative
186,"Monyet aja koloe dbilang saudra sma elo pasti ogah, hdupmu kok gini amat ya.. Toe Hati apa comberan? USER'",koloe dibilang saudara ogah hidupmu ya hati comberan,negative
187,Body Lufra/ scrub dg bhn dasar lidah buaya utk mlembabkn kulit &amp; lbh bcahaya info: 087812026394 #BMI',body lufra scrub bahan dasar lidah melembabkan kulit amp bercahaya info 087812026394 body mass index,negative
188,USER Tak punya cacat di masa lalu krn blum bermasa lalu',bermasa,negative
189,USER USER jangan2 penganut bumi datar juga? \xf0\x9f\x98\x9d\nsoalnya teori bumi bulat kan dari orang asing yg notabane musuh mereka.',penganut bumi datar teori bumi bulat orang notabene musuh,negative
190,"Becak Warga Binjai Hendak Disita karena Gunakan Tenda Bertuliskan #2019GantiPresiden, PKS MERADANG; ; Bukti pemerintah panik dan takut?; ;",becak warga binjai disita tenda bertuliskan 2019 ganti presiden partai keadilan sejahtera meradang bukti pemerintah panik takut,negative
191,lebih baik jokowi mundur..,jokowi mundur,negative
192,Munas Alim Ulama PPP di semarang. menghasilkan lima rekomendasi syarat dan kriteria-kriteria bagi Calon Wakil Presiden yang akan mendampingi Bpk Jokowi di 2019 mendatang. #Romahurmuziy,musyawarah nasional alim ulama ppp semarang menghasilkan rekomendasi syarat kriteria kriteria calon wakil presiden mendampingi jokowi 2019 romahurmuziy,neutral
193,USER Luar biasa pencerahan nya.. Saya merasa gagal sebagai anak ekonomi.. Wkwk,pencerahan nya gagal anak ekonomi wkwk,negative
194,"USER USER USER USER Kafan berasal dari budaya yahudi, kenapa umat Islam mengklaim ?'",kafan berasal budaya yahudi umat islam mengklaim,negative
195,Oleh rezim skrg atas kendali Negara Cina Komunis yg mjd patron tunggal rezim anti islam ( Jokowi ),kendali negara cina patron tunggal anti islam jokowi,negative
196,USER USER itu tanda nya mau pilkada n pilpres,tanda nya pilihan kepala daerah pemilihan presiden,neutral
197,Misi4: Membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya Jawa Barat yang luhur #No3JabarAsyik #Asyikm3nang,misi 4 membangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur nomor jawa barat asyik asyik menang,positive
198,Ketabahan pasangan En Taufiq dan Puan Nurliyana yang wajar dicontohi.. jom kita beri sumbangan untuk meringankan beban pasangan ini... come on twitter do your things! ; ; BSN - 0510541000096745 ; Bank Islam - 05058020145124 ; (Nurliyana bte Abdul Raziff) ;,ketabahan pasangan taufik puan niyana wajar dicontohi jom sumbangan meringankan beban pasangan come on twitter do your berpikir badan standarisasi nasional 0510541000096745 bank islam 05058020145124 niyana bosan abdul razif,negative
199,"USER Apaansi tai baru gt doang belagunya udah selangit. Ga inget ada karma? Ntar bbrp taun lagi kalo idol lu flop, gua ketawa paling keras.'",sih doang belaganya selangit karma idol flop gue tertawa keras,negative
200,USER USER celeng kgn gw y',kangen gue iya,negative
201,"#TerangiNegeri dengan budaya , yuk pada visit ke purwokerto ,mumpung Ada even rakyat.; .; #purwokerto; #extravaganzabanyumas",terangi negeri budaya yuk mengunjungi purwokerto mumpung even rakyat purwokerto ekstra vaganza banyumas,negative
202,"Presiden itu punya dana taktis, dia bisa menggunakan untuk kepentingan rakyatnya di luar program2 pemerintah yang sudah ada. Soal program banyak sekali: ada pembangunan infrastruktur, KIP, KIS, Sertifikat tanah, perhutanan sosial, BBM 1 harga, padat karya,",presiden dana taktis kepentingan rakyatnya program program pemerintah program pembangunan infrastruktur kip kartu indonesia sehat sertifikat tanah perhutanan sosial bahan bakar minyak 1 harga padat karya,negative
203,USER Aamiin ya Allah :(((\nTimnya Kinan aja sampai pelatihan ular karena dia dapat di rawa-rawa. Aku dapatnya di sungai gede gt dan musuhnya buaya wkwkw',amin ya allah timnya kinan pelatihan ular rawa rawa dapatnya sungai gede musuhnya wkwk,negative
204,USER USER MAJU KAMU NGATAIN MAMA AKU BOLOT',maju memaki mama bolot,negative
205,"Grombolan Kadal Jidat gosong,mmg bgtu, sukanya ribut tapi klo grombolanya yg salah pura2 Budek..Dasar Grombolan Cingkrang URL",gerombolan kadal jidat gosong sukanya ribut gerombolannya salah pura pura dasar gerombolan cingkrang,negative
206,USER USER USER Segitu gentarnya dia takut terhadap Kafir...\xf0\x9f\x98\x81',gentarnya takut,negative
207,RT USER USER betul padahal saracen juga siapa sehingga akun yang kritis dianggap saracen kan aneh jokowi,saracen akun kritis dianggap saracen aneh jokowi,negative
208,USER siapa bego lu bukan tmn gua najis dah kesel sendiri gue',teman gue kesal gue,negative
209,USER USER Kafir kristen selalu buat ulah,kristen ulah,negative
210,"USER Tau dong, bau baunya udh keciri ini sipit buluq'",tau bau baunya keciri buluk,negative
211,"USER kayak memegang, bukan mucikari'",kayak memegang,negative
212,"Guru TK Dharma Wanita Persatuan Desa Plumbon Porong Deklarasi anti HOAX ,Ujaran kebencian, issu sarah dan mendukung pilkada damai",guru tk darma wanita persatuan desa plumbon porong deklarasi anti hoaks ujaran kebencian isu sarah mendukung pilihan kepala daerah damai,negative
213,USER Anjir serem maennya begituan \xf0\x9f\x98\x82\xf0\x9f\x91\x8c',seram mainnya begituan,negative
214,USER Kayaknya bisa? Atau cuma bank tertentu? Bilang aja mau jual uang asing/tukar ke rupiah',kayaknya bank bilang jual uang tukar rupiah,neutral
215,USER USER USER USER Onta yaman ni\n\nsetahun lagi gua deportasi loe',yaman nih setahun gue deportasi,negative
216,Hati-Hati Berita Pilkada yang Berbau Hoax #madiun #madiuntoday #100thmadiun #KotaKarismatikMadiun #tolakcukaiilegal; Kunjungi juga,hati hati berita pilihan kepala daerah berbau hoaks madiun madiun today 100thmadiun kotak karismatik madiun tolak cukai ilegal kunjungi,neutral
217,USER anak cocot ya ini USER',anak ya,negative
218,USER \xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88udah ketauan HOAX ya Fahri mangkanye klu ambil berite tuyg update jangan dari tong sampah diambil terus di SS taunya berit udah,ketahuan hoaks ya fahri ambil berita tuyg pembaruan tong diambil screenshoot taunya berita,negative
219,Mantaaap DM dekat sama Banser bang USER,mantap direct message barisan serba bang,positive
220,"ternyata ada lebah yg gak suka bunga, tapi makan bangkai. gw penasaran madu nya kaya gimana \xf0\x9f\xa4\x94'",lebah suka bunga makan gue penasaran madu nya kayak,negative
221,USER USER Pantas indonesia mundur dalam segala bentuk,indonesia mundur bentuk,neutral
222,USER USER USER USER Naahh yg dongo yg bilang hekell hahaha',bilang hacker haha,negative
223,USER USER USER USER Hahahaha blunder lu cebong... Yg gak ngasih tuh pem. pusat dengan Alasan HAM... kalau rakyat aceh ya mau kali pun.. Cobak kau datangi pemerintah bilang suruh buat hukum islam kaffah di aceh... Klau DPR a,haha blunder protein energy malnutrition pusat alasan ham rakyat aceh ya kali coba datangi pemerintah bilang suruh hukum islam kaffah aceh dewan perwakilan rakyat a,negative
224,BANGSAD GUA DAH NYELEM AMPE BAWAH2 BALIK LGI KE ATAS!1!',gue menyelam 1,negative
225,Saya tak bisa dipancing-pancing dgn urusan penistaan atau bukan. Saya hanya berbicara pemahaman saya ttg fiksi dan kitab suci.,dipancing pancing urusan penistaan berbicara pemahaman fiksi kitab suci,negative
226,USER USER USER USER Cebong kacung itu kt temen gw dungunya sampe ke tulang sum2..jd jgn buang2 energi debat sm mereka..\xf0\x9f\x98\x82',kacung teman gue dungunya tulang sumsum buang buang energi debat,negative
227,USER PARTAI KORUPSI SAPI......goblog...',partai korupsi sapi,negative
228,"Signal kntl !! Pemeliharaan apalagi ini ? Niat gak sih ? Login twitter doank susah amat, gmn mau open redtube ? Cetan !! USER'",sinyal pemeliharaan niat sih login twitter doang susah open redtube,negative
229,USER USER Matane aku moh aku kafir wkwkwk',matanya wkwk,negative
230,USER Jadi inget fesbuk anjir lupa aku',facebook lupa,neutral
231,"USER kalo aing sih bakal bilang ""hilih kntl""'",sih bilang alah,negative
232,"Nikita Mirzani udah pake hijab, yg masih ngomong cebang cebong udah pernah fantasiin doi belom? Uh ah!! #cokoRers'",nikita mirzani pakai hijab berbicara cebang fantasikan uh ah cokorers,negative
233,"USER Tatapannya dialihkan ke arah lain, enggan menatap pria mencurigakan itu. Lagipula, siapa yang pertama kali membuat gaduh suasana? Jika Angie tidak menemukan ada seorang pria asing yang tidur di sofanya, kejadian seperti ini tidak akan terjadi.",tatapannya dialihkan arah enggan menatap pria mencurigakan kali gaduh suasana angie menemukan pria tidur sofanya kejadian,negative
